3 Gymnopédies: Gymnopedie No.3 - Lent Et Grave,2:17,Frank Glazer,Classical
Antidote,4:23,Travis Scott,Hip Hop/Rap
Backseat Freestyle,3:33,Kendrick Lamar,Hip Hop/Rap
Bad And Boujee (Ft. Lil Uzi Vert),5:34,Migos,Hip Hop/Rap
Blkjuptr [Prod. By Monte Booker],3:14,Smino,Hip Hop/Rap
C.R.E.A.M.,4:12,Wu-Tang Clan,Hip Hop/Rap
Can't Go Wrong,3:05,Wiley,Hip Hop/Rap
Check the Rhime,3:40,A Tribe Called Quest,Hip Hop/Rap
Chrome (Like Ooh),3:28,Rapsody,Hip Hop/Rap
Cilvia Demo,3:03,Isaiah Rashad,Hip Hop/Rap
Crew (CDQ),2:57,GoldLink Ft. Brent Faiyaz & Shy Glizzy,Hip Hop/Rap
Dirt Off Your Shoulder,4:05,Jay-Z,Hip Hop/Rap
Doomsday,4:58,MF Doom,Hip Hop/Rap
Energy,3:02,Drake,Hip Hop/Rap
First Day Out,4:15,Tee Grizzley,Hip Hop/Rap
The Food (Feat. Kanye West) (Studio Version),4:20,Common,Hip Hop/Rap
For My People,3:53,Joey Bada$$,Hip Hop/Rap
Forbidden Fruit (feat. Kendrick Lamar),4:29,J Cole,Hip Hop/Rap
FUN!,2:51,Vince Staples,Hip Hop/Rap
Get By,3:47,Talib Kweli,Hip Hop/Rap
Get Dis Money,3:31,Slum Village,Hip Hop/Rap
Gettin Throwed Ft. Towkio & Joey Purp,3:37,TWO FRESH.,Hip Hop/Rap
Gin And Juice [Explicit],3:31,Snoop Doggy Dogg,Hip Hop/Rap
I Gotta Stay Fly,3:57,Three 6 Mafia,Hip Hop/Rap
I Wish,4:09,Skee-Lo,Hip Hop/Rap
Intergalactic,3:30,Beastie Boys,Hip Hop/Rap
It Was a Good Day,4:20,Ice Cube,Hip Hop/Rap
Jumpman,3:26,Drake & Future,Hip Hop/Rap
"Kick, Push",4:16,Lupe Fiasco,Hip Hop/Rap
Like Woah,3:53,Logic,Hip Hop/Rap
Look Alive,3:01,BlocBoy JB Ft Drake,Hip Hop/Rap
Lose Yourself,5:20,Eminem,Hip Hop/Rap
Loyalty (feat. Lil Wayne & Tyga),3:58,Birdman,Hip Hop/Rap
A Milli,3:42,Lil Wayne,Hip Hop/Rap
Much More,4:05,De La Soul & Yummy,Hip Hop/Rap
Numbers On the Boards,2:43,Pusha T,Hip Hop/Rap
Rack City,3:29,Tyga,Hip Hop/Rap
Renaissance (feat. Lex Allen & D. Bridge)prod. by Mic Kellogg,3:19,WebsterX,Hip Hop/Rap
Seen It All (feat. JAY Z),3:28,Jeezy,Hip Hop/Rap
"Shook Ones, Pt. II",5:26,Mobb Deep,Hip Hop/Rap
Skills Up,4:00,The Lower Class,Hip Hop/Rap
Slump,5:09,Outkast,Hip Hop/Rap
Sweatpants,3:01,Childish Gambino,Hip Hop/Rap
THat Part (feat. Kanye West),5:14,ScHoolboy Q,Hip Hop/Rap
This Plane,3:16,Wiz Khalifa,Hip Hop/Rap
Throw Some D's (feat. Polow Da Don),4:24,Rich Boy,Hip Hop/Rap
Touch the Sky (Featuring Lupe Fiasco),3:57,Kanye West,Hip Hop/Rap
Truffle Butter [feat. Drake] [Explicit],3:39,Nicki Minaj,Hip Hop/Rap
Watch Out,3:28,2 Chainz,Hip Hop/Rap
Where The Hood At?,4:52,DMX,Hip Hop/Rap
Window Shopper,3:10,50 Cent,Hip Hop/Rap
Afro Blues,7:24,Takuya Kuroda,Jazz
All Of Me,2:30,Duke Ellington featuring Johnny Hodges,Jazz
Alone Together,6:52,Paul Desmond,Jazz
Autumn Leaves,11:00,Cannonball Adderley,Jazz
Bouncing with Bud,3:05,Bud Powell,Jazz
Brother Hubbard,6:35,Kenny Garrett,Jazz
Ceora,6:21,Lee Morgan,Jazz
Chinatown - Nicholas Payton,4:01,Nicholas Payton,Jazz
Choir,4:51,Dave Holland,Jazz
Clean House,4:49,Orrin Evans,Jazz
Delphia,7:23,Freddie Hubbard,Jazz
Det Var en Lørdag Aften,3:42,Kenny Drew & Niels-Henning Ørsted Pedersen,Jazz
Dig Dis,6:09,Hank Mobley,Jazz
Embraceable You,6:43,Jo Jones,Jazz
The Eye Of The Hurricane,3:36,"Christian McBride, Nicholas Payton & Mark Whitfield",Jazz
Five O'Clock Whistle,3:30,Ray Brown & John Clayton,Jazz
Four By Five,6:37,McCoy Tyner,Jazz
Four on Six,6:12,Wes Montgomery,Jazz
Hammer Head,7:51,Art Blakey,Jazz
Have You Met Miss Jones?,5:12,Kenny Barron,Jazz
Highway Rider,7:46,Brad Mehldau,Jazz
Honeysuckle Rose,5:47,Lionel Hampton,Jazz
Invitation,3:37,Quincy Jones,Jazz
Jean Marie,7:43,Woody Shaw,Jazz
Lady Bird,4:44,Chet Baker,Jazz
Leroy and Lanisha,9:24,Kamasi Washington,Jazz
The Long Way Home,5:44,Joshua Redman,Jazz
Memories Of You,3:44,Benny Goodman & His Band,Jazz
Moment's Notice,9:11,John Coltrane,Jazz
Mr. Steepe,6:19,Branford Marsalis,Jazz
On A Slow Boat To China,4:00,Bill Charlap Trio,Jazz
One for Helen,5:51,Bill Evans,Jazz
Poinciana,8:07,Ahmad Jamal,Jazz
Rabat,7:45,Phronesis,Jazz
Remembrance,9:01,Yussef Kamaal,Jazz
Rogue Convoy,7:06,Eleven Eyes,Jazz
Rosalie,5:48,Jeremy Pelt,Jazz
Rowdy Rod,5:38,The Rodriguez Brothers,Jazz
Short Story,7:12,Joe Henderson,Jazz
So What,9:22,Miles Davis,Jazz
Soul on Soul,6:15,Dave Douglas,Jazz
Stable Mates,6:04,Vincent Herring,Jazz
Strasbourg/St. Denis,4:41,Roy Hargrove Quintet,Jazz
Sudwest Funk,6:54,Donald Byrd,Jazz
Sunset at Sunset,3:32,Sacbe,Jazz
Survival Of The Fittest,10:08,Herbie Hancock,Jazz
Take Five,5:24,Dave Brubeck,Jazz
Teach Me Tonight,5:07,Oscar Peterson,Jazz
Wandering Wonder,5:46,Terence Blanchard,Jazz
Witch Hunt,8:11,Wayne Shorter,Jazz
Alone,3:39,Heart,Rock
Another One Bites The Dust,3:40,Queen,Rock
Ask The Lonely,3:55,Journey,Rock
Basket Case,3:02,Green Day,Rock
Beast of Burden,3:29,The Rolling Stones,Rock
Blue Blood,5:17,Foals,Rock
"Blue Morning, Blue Day",3:12,Foreigner,Rock
Bringin' On The Heartache,4:34,Def Leppard,Rock
Can't Stop,4:29,Red Hot Chili Peppers,Rock
Come Together,4:20,The Beatles,Rock
Comfortably Numb,6:24,Pink Floyd,Rock
Day Tripper,3:48,Whitesnake,Rock
Dirty Work,3:09,Steely Dan,Rock
Elephant,3:31,Tame Impala,Rock
Everybody Wants Some!!,5:09,Van Halen,Rock
Expo '86,4:11,Death Cab For Cutie,Rock
Eye to Eye,4:05,Fates Warning,Rock
Fell on Black Days,4:42,Soundgarden,Rock
Forever Man,3:12,Eric Clapton,Rock
Girl You Have No Faith In Medicine,3:18,The White Stripes,Rock
High Enough,4:46,Damn Yankees,Rock
High Society,2:33,Bear Hands,Rock
Hold On,3:46,Alabama Shakes,Rock
Hold the Line (Love Isn't Always on Time),3:56,Toto,Rock
I Bet You Look Good On The Dancefloor,2:54,Arctic Monkeys,Rock
I Cut Like a Buffalo,3:28,The Dead Weather,Rock
I Don't Care Anymore,5:06,Phil Collins,Rock
Jeremy,5:19,Pearl Jam,Rock
Limelight,4:24,Rush,Rock
London Calling,3:22,The Clash,Rock
Monkey Gone to Heaven,2:56,Pixies,Rock
My Number,4:01,Foals,Rock
No Smoke Without a Fire,4:28,Bad Company,Rock
Positive Tension,3:55,Bloc Party,Rock
Pull Me Under (2007 Remix),8:14,Dream Theater,Rock
Purple Haze,2:51,Jimi Hendrix,Rock
Rebel Yell,4:47,Billy Idol,Rock
The Red & The Black,4:28,Blue Öyster Cult,Rock
Rock and Roll,3:41,Led Zeppelin,Rock
Roundabout,8:36,Yes,Rock
Saeglópur,7:39,Sigur Rós,Rock
Saved By a Waif,2:59,Alvvays,Rock
Smells Like Teen Spirit,5:02,Nirvana,Rock
Smoke On the Water,5:42,Deep Purple,Rock
Takin' a Ride (On Heavy Metal),4:59,Don Felder,Rock
Thunderstruck,4:53,AC/DC,Rock
Victim of Love,4:10,Eagles,Rock
Working for the Weekend,3:41,Loverboy,Rock
Would?,3:28,Alice In Chains,Rock
Zombie,5:06,The Cranberries,Rock
